State,2014
Alabama,24.50
Alaska,29.00
Arizona,28.40
Arkansas,22.00
California,32.60
Colorado,39.40
Connecticut,38.40
Delaware,31.00
District of Columbia,56.60
Florida,28.50
Georgia,29.90
Hawaii,32.00
Idaho,26.80
Illinois,33.40
Indiana,25.30
Iowa,27.70
Kansas,32.30
Kentucky,23.20
Louisiana,23.40
Maine,30.30
Maryland,39.00
Massachusetts,42.10
Michigan,28.10
Minnesota,34.80
Mississippi,21.30
Missouri,28.20
Montana,30.70
Nebraska,30.60
Nevada,23.70
New Hampshire,36.00
New Jersey,38.10
New Mexico,26.90
New York,35.30
North Carolina,29.90
North Dakota,28.90
Ohio,27.20
Oklahoma,24.80
Oregon,32.30
Pennsylvania,30.10
Rhode Island,33.00
South Carolina,27.00
South Dakota,27.80
Tennessee,26.10
Texas,28.70
Utah,32.50
Vermont,36.80
Virginia,37.60
Washington,34.50
West Virginia,19.90
Wisconsin,29.00
Wyoming,26.70
Puerto Rico,24.90
