Name,1970,1980,1990,2000,2013-2017
Alabama,7.80%,12.20%,15.70%,19.00%,24.50%
Alaska,14.10%,21.20%,23.10%,24.70%,29.00%
Arizona,12.60%,17.40%,20.30%,23.50%,28.40%
Arkansas,6.70%,10.80%,13.30%,16.70%,22.00%
California,13.40%,19.60%,23.40%,26.60%,32.60%
Colorado,14.90%,23.00%,27.00%,32.70%,39.40%
Connecticut,13.70%,20.70%,27.20%,31.40%,38.40%
Delaware,13.10%,17.50%,21.40%,25.00%,31.00%
District of Columbia,17.80%,27.50%,33.30%,39.10%,56.60%
Florida,10.30%,14.90%,18.30%,22.30%,28.50%
Georgia,9.20%,14.60%,19.30%,24.30%,29.90%
Hawaii,14.00%,20.30%,22.90%,26.20%,32.00%
Idaho,10.00%,15.80%,17.70%,21.70%,26.80%
Illinois,10.30%,16.20%,21.00%,26.10%,33.40%
Indiana,8.30%,12.50%,15.60%,19.40%,25.30%
Iowa,9.10%,13.90%,16.90%,21.20%,27.70%
Kansas,11.40%,17.00%,21.10%,25.80%,32.30%
Kentucky,7.20%,11.10%,13.60%,17.10%,23.20%
Louisiana,9.00%,13.90%,16.10%,18.70%,23.40%
Maine,8.40%,14.40%,18.80%,22.90%,30.30%
Maryland,13.90%,20.40%,26.50%,31.40%,39.00%
Massachusetts,12.60%,20.00%,27.20%,33.20%,42.10%
Michigan,9.40%,14.30%,17.40%,21.80%,28.10%
Minnesota,11.10%,17.40%,21.80%,27.40%,34.80%
Mississippi,8.10%,12.30%,14.70%,16.90%,21.30%
Missouri,9.00%,13.90%,17.80%,21.60%,28.20%
Montana,11.00%,17.50%,19.80%,24.40%,30.70%
Nebraska,9.60%,15.50%,18.90%,23.70%,30.60%
Nevada,10.80%,14.40%,15.30%,18.20%,23.70%
New Hampshire,10.90%,18.20%,24.40%,28.70%,36.00%
New Jersey,11.80%,18.30%,24.90%,29.80%,38.10%
New Mexico,12.70%,17.60%,20.40%,23.50%,26.90%
New York,11.90%,17.90%,23.10%,27.40%,35.30%
North Carolina,8.50%,13.20%,17.40%,22.50%,29.90%
North Dakota,8.40%,14.80%,18.10%,22.00%,28.90%
Ohio,9.30%,13.70%,17.00%,21.10%,27.20%
Oklahoma,10.00%,15.10%,17.80%,20.30%,24.80%
Oregon,11.80%,17.90%,20.60%,25.10%,32.30%
Pennsylvania,8.70%,13.60%,17.90%,22.40%,30.10%
Rhode Island,9.40%,15.40%,21.30%,25.60%,33.00%
South Carolina,9.00%,13.40%,16.60%,20.40%,27.00%
South Dakota,8.60%,14.00%,17.20%,21.50%,27.80%
Tennessee,7.90%,12.60%,16.00%,19.60%,26.10%
Texas,10.90%,16.90%,20.30%,23.20%,28.70%
Utah,14.00%,19.90%,22.30%,26.10%,32.50%
Vermont,11.50%,19.00%,24.30%,29.40%,36.80%
Virginia,12.30%,19.10%,24.50%,29.50%,37.60%
Washington,12.70%,19.00%,22.90%,27.70%,34.50%
West Virginia,6.80%,10.40%,12.30%,14.80%,19.90%
Wisconsin,9.80%,14.80%,17.70%,22.40%,29.00%
Wyoming,11.80%,17.20%,18.80%,21.90%,26.70%
Puerto Rico,,,,18.30%,24.90%
